problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_0,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Arrow))\n)', '(move-to t1 t7)\n(pick-up i1 o10 t7)\n(move-to t7 t15)\n(pick-up i2 o11 t15)\n(move-to t15 t3)\n(craft-arrow i1 i2 i3 o2 o10 o11 o24 t3)')",True,"move-to, pick-up, move-to, pick-up, move-to, craft-arrow","move-to, pick-up, move-to, pick-up, move-to, craft-arrow"
train_2,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Bowl))\n)', '(move-to t1 t2)\n(pick-up i1 o8 t2)\n(move-to t2 t5)\n(craft-bowl_1 t5 o1 i1 o8 i3 o24)')",False,"move-to, pick-up, move-to, craft-bowl_1","move-to, pick-up, move-to, craft-bowl_1"
train_2,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Bowl))\n)', '(move-to t1 t11)\n(pick-up i1 o9 t11)\n(move-to t11 t10)\n(craft-bowl1_1 t10 o7 i1 o9 i3 o24)')",True,"move-to, pick-up, move-to, craft-bowl1_1","move-to, pick-up, move-to, craft-bowl1_1"
train_3,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Stick))\n)', '(move-to t1 t7)\n(pick-up i1 o8 t7)\n(move-to t7 t13)\n(craft-stick_1 t13 o1 i1 o8 i3 o24)')",False,"move-to, pick-up, move-to, craft-stick_1","move-to, pick-up, move-to, craft-stick_1"
train_3,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Stick))\n)', '(move-to t1 t11)\n(pick-up i1 o9 t11)\n(move-to t11 t13)\n(craft-stick_2 t13 o1 i1 o9 i3 o24)')",True,"move-to, pick-up, move-to, craft-stick_2","move-to, pick-up, move-to, craft-stick_2"
train_4,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 IronIngot))\n)', '(move-to t1 t12)\n(pick-up i1 o14 t12)\n(move-to t12 t11)\n(smelt-iron_0 t11 o4 i1 o14 i3 o24)')",False,"move-to, pick-up, move-to, smelt-iron_0","move-to, pick-up, move-to"
train_6,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 GoldIngot))\n)', '(move-to t1 t11)\n(pick-up i1 o16 t11)\n(move-to t11 t3)\n(smelt-gold-ore_0 t3 o4 i1 o16 i3 o24)')",False,"move-to, pick-up, move-to, smelt-gold-ore_0","move-to, pick-up, move-to"
train_7,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 GoldIngot))\n)', '(move-to t1 t13)\n(pick-up i1 o16 t13)\n(move-to t13 t3)\n(smelt-gold-ore_0 t3 o4 i1 o16 i3 o24)')",False,"move-to, pick-up, move-to, smelt-gold-ore_0","move-to, pick-up, move-to"
train_8,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Paper))\n)', '(move-to t1 t6)\n(pick-up i1 o8 t6)\n(move-to t6 t13)\n(craft-paper_2 t13 o1 i1 o8 i3 o24)')",False,"move-to, pick-up, move-to, craft-paper_2","move-to, pick-up, move-to, craft-paper_2"
train_9,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 WoodPlank))\n)', '(move-to t1 t4)\n(pick-up i1 o8 t4)\n(move-to t4 t12)\n(craft-wood-plank i1 i3 o1 o8 o24 t12)')",True,"move-to, pick-up, move-to, craft-wood-plank","move-to, pick-up, move-to, craft-wood-plank"
train_11,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Boat))\n)', '(chop_0 t1 o9 i1)\n(move-to t1 t9)\n(craft-boat_1 t9 o6 i1 o9 i1 o9 i3 o24)')",False,"chop_0, move-to, craft-boat_1","chop_0, move-to"
train_13,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Arrow))\n)', '(move-to t1 t7)\n(pick-up i1 o11 t7)\n(move-to t7 t11)\n(pick-up i2 o10 t11)\n(move-to t11 t1)\n(craft-arrow i2 i1 i3 o2 o10 o11 o24 t1)')",True,"move-to, pick-up, move-to, pick-up, move-to, craft-arrow","move-to, pick-up, move-to, pick-up, move-to, craft-arrow"
train_14,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Boat))\n)', '(move-to t1 t10)\n(chop_0 t10 o9 i1)\n(move-to t10 t12)\n(craft-boat_1 t12 o6 i1 o9 i1 o9 i3 o24)')",False,"move-to, chop_0, move-to, craft-boat_1","move-to, chop_0, move-to"
train_15,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 GoldIngot))\n)', '(move-to t1 t15)\n(pick-up i1 o16 t15)\n(move-to t15 t10)\n(smelt-gold-ore_0 t10 o4 i1 o16 i3 o24)')",False,"move-to, pick-up, move-to, smelt-gold-ore_0","move-to, pick-up, move-to"
train_17,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 GoldIngot))\n)', '(move-to t1 t9)\n(pick-up i1 o16 t9)\n(move-to t9 t3)\n(smelt-gold-ore_0 t3 o4 i1 o16 i3 o24)')",False,"move-to, pick-up, move-to, smelt-gold-ore_0","move-to, pick-up, move-to"
train_18,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o23)\n\t\t(object-of-type o23 Arrow))\n)', '(move-to t1 t14)\n(pick-up i1 o10 t14)\n(move-to t14 t15)\n(pick-up i2 o11 t15)\n(move-to t15 t3)\n(craft-arrow i1 i2 i3 o2 o10 o11 o23 t3)')",False,"move-to, pick-up, move-to, pick-up, move-to, craft-arrow","move-to, pick-up, move-to, pick-up, move-to, craft-arrow"
train_18,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o24)\n\t\t(object-of-type o24 Arrow))\n)', '(move-to t1 t14)\n(pick-up i1 o10 t14)\n(move-to t14 t15)\n(pick-up i2 o11 t15)\n(move-to t15 t3)\n(craft-arrow i1 i2 i3 o2 o10 o11 o24 t3)')",True,"move-to, pick-up, move-to, pick-up, move-to, craft-arrow","move-to, pick-up, move-to, pick-up, move-to, craft-arrow"
