operator_name,gt_operator,codex_raw_operator,codex_preprocessed_operator,
CutObject,,"(:action CutObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r CounterTopType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isSliced ?o)
        )
    )
","(:action CutObject
        :parameters (?a - agent ?r - receptacle ?o - object ?l - location)

        :precondition (and 
		(receptacleType ?r CounterTopType)
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(isSliced ?o)
		)
)",
CoolObject,"(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )","(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (inReceptacle ?o ?r)
            (isHot ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )
","(:action CoolObject
        :parameters (?a - agent ?r - receptacle ?o - object ?l - location)

        :precondition (and 
		(receptacleType ?r FridgeType)
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(inReceptacle ?o ?r)
		(isHot ?o)
		)
        :effect (and 
		(isCool ?o)
		)
)",
PullObject,,"(:action PullObject
        :parameters (?a - agent ?object - object ?location1 - location ?location2 - location)
        :precondition (and
            (objectType ?object PaperTowelType)
            (atLocation ?a ?location1)
            (objectAtLocation ?object ?location2)
            (inReceptacle ?object ?r)
        )
        :effect (and
            (objectAtLocation ?object ?location1)
            (not (inReceptacle ?object ?r))
            (not (objectAtLocation ?object ?location2))
            (receptacleHasSpace ?r)
        )
    )
",FAILED,
HeatObject,"(:action HeatObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r MicrowaveType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isHot ?o)
        )
    )","(:action HeatObject
        :parameters (?a - agent ?o - object)
        :precondition (and
            (holds ?a ?o)
            (heatable ?o)
            (cleanable ?o)
            (coolable ?o)
        )
        :effect (and
            (isHot ?o)
            (not (isCool ?o))
        )
    )
","(:action HeatObject
        :parameters (?a - agent ?o - object)

        :precondition (and 
		(holds ?a ?o)
		(heatable ?o)
		(cleanable ?o)
		(coolable ?o)
		)
        :effect (and 
		(isHot ?o)
		(not (isCool ?o))
		)
)",
WaitForDelay,,"(:action WaitForDelay
        :parameters (?a - agent ?l - location ?r - receptacle)
        :precondition (and
            (receptacleType ?r SinkBasinType)
            (atLocation ?a ?l)
        )
        :effect (and
        )
    )
",FAILED,
DropObject,,"(:action DropObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (holds ?a ?o)
        )
        :effect (and
            (not (holds ?a ?o))
        )
    )
","(:action DropObject
        :parameters (?o - object ?l - location ?a - agent)

        :precondition (and 
		(atLocation ?a ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(not (holds ?a ?o))
		)
)",
CookObject,,"(:action CookObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r StoveBurnerType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCooked ?o)
            (holds ?a ?o)
        )
    )
","(:action CookObject
        :parameters (?a - agent ?r - receptacle ?o - object ?l - location)

        :precondition (and 
		(receptacleType ?r StoveBurnerType)
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(holds ?a ?o)
		)
)",
ChillObject,,"(:action ChillObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )
","(:action ChillObject
        :parameters (?a - agent ?r - receptacle ?o - object ?l - location)

        :precondition (and 
		(receptacleType ?r FridgeType)
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(isCool ?o)
		)
)",
ViewObject,,"(:action ViewObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
        )
        :effect (and
        )
    )
",FAILED,
ExamineObject,,"(:action ExamineObject
        :parameters (?a - agent ?o - object ?lStart - location ?lEnd - location ?type - rtype)
        :precondition (and
            (atLocation ?a ?lStart)
            (objectAtLocation ?o ?lStart)
        )
        :effect (and
            (receptacleType ?o CartType)
        )
    )
","(:action ExamineObject
        :parameters (?o - object ?o - receptacle ?lStart - location ?a - agent)

        :precondition (and 
		(atLocation ?a ?lStart)
		(objectAtLocation ?o ?lStart)
		)
        :effect (and 
		(receptacleType ?o CartType)
		)
)",
