problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation microwave)
(PickupObject apple)
(Slice apple apple-slice)
(GotoLocation refrigerator)
(PutObject apple-slice refrigerator)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,slice off the top of a tomato while holding a butter knife.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(SliceObject tomato)","(GotoLocation butterknifeslotted)
(PickupObject butterknifeslotted)
(GotoLocation sink)
(CutObject butterknifeslotted)
(GotoLocation tomatoes)
(CutObject tomatoes)"
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-24/trial_T20190909_073807_553746,cook a piece of an apple and cool it.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation cabinet)
(PutObject butterknife cabinet)
(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation knife)
(PickupObject knife)
(PickupObject apple)
(GotoLocation sinkbasin)
(CutObject apple)
(GotoLocation oven)
(BakeObject apple)
(GotoLocation freezer)
(CoolObject apple)
(GotoLocation sinkbasin)"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,use the knife on the table by the stove to slice the cabbage on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)","(GotoLocation knife-by-stove)
(PickupObject knife-by-stove)
(GotoLocation white-table)
(PullObject cabbage-on-white-table)
(PushObject knife-by-stove cabbage-on-white-table)
(PullObject knife-by-stove)
(PullObject cabbage-on-white-table)"
train/pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084028_991219,put the cold bottle in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation cabinet)
(PutObject winebottle cabinet)","(PutOnSurface bottle cabinet)
(ReplaceObject bottle coldbottle)"
train/pick_heat_then_place_in_recep-AppleSliced-None-SideTable-3/trial_T20190918_165030_719864,"pick up knife , slice apple , move knife to another table , heat apple slice in microwave and put it on a table.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation knife)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation sidetable)
(PutObject knife sidetable)
(GotoLocation apple)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation sidetable)
(PutObject apple sidetable)","(GotoLocation kitchencounter)
(PickUpKnifeKitchenCounter )
(GotoLocation diningtable)
(PutObject apple  diningtable)
(SliceObject apple )
(PutObject apple  diningtable)
(PickupObject apple slice)
(GotoLocation kitchencounter)
(PutObject apple slice kitchencounter)
(GotoLocation microwave)
(HeatObject apple slice)
(GotoLocation kitchencounter)
(PickupObject apple slice)
(GotoLocation diningtable)
(PutObject apple slice diningtable)"
train/pick_cool_then_place_in_recep-Apple-None-SideTable-21/trial_T20190907_180858_138819,put a chilled apple on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation sidetable)
(PutObject apple sidetable)","(GotoLocation cabinet)
(PickupObject apple)
(WaitForDelay 1.0)
(GotoLocation table)
(WaitForDelay 1.0)
(PutObject apple table)"
train/pick_cool_then_place_in_recep-LettuceSliced-None-CounterTop-24/trial_T20190909_153425_218344,put a slice of cold lettuce on a ledge in front of a sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject knife)
(SliceObject lettuce)
(GotoLocation countertop)
(PutObject knife countertop)
(GotoLocation diningtable)
(PickupObject lettuce)
(GotoLocation fridge)
(CoolObject lettuce)
(GotoLocation countertop)
(PutObject lettuce countertop)","(GotoLocation sink)
(PickupObject slice)
(PutObject slice shelf)"
train/pick_heat_then_place_in_recep-Potato-None-GarbageCan-14/trial_T20190909_114102_376957,place a heated potato in a bin.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation garbagecan)
(PutObject potato garbagecan)","(GotoLocation countertop)
(PickupObject potatoball)
(GotoLocation microwave)
(HeatedInObject potatoball)
(PutObject potatoball microwave)
(WaitTime 10)
(GotoLocation oven)
(PickupObject potatoball)
(GotoLocation ovenbin)
(PutObject potatoball ovenbin)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-DiningTable-7/trial_T20190908_032410_853210,place a cooked slice of potato on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject knife)
(GotoLocation potato)
(SliceObject potato)
(GotoLocation microwave)
(PutObject knife microwave)
(GotoLocation diningtable)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation diningtable)
(PutObject potato diningtable)","(GotoLocation countertop)
(GetKnife potato)
(PeelObject potato)
(DropObject potato)
(GotoLocation stovetop)
(CookObject potato)
(GetSpatula potato)
(GotoLocation countertop)
(PickupObject plate)
(PutObject potato plate)
(GotoLocation diningtable)
(QuitGoal)"
