problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-202/trial_T20190909_014548_223224,examine a remote control by the light of a tall lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o RemoteControlType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n<END>', ';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n\n<END>', ';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o RemoteControlType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-208/trial_T20190908_214829_482790,examine a remote control using the light of a floor lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o RemoteControlType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))\n\n<END>', ';; Simplified Goal: \nlook_at_obj_in_light-RemoteControl-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o RemoteControlType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,turn on the lamp on the desk while holding the bowl.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BowlType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nturn_on-DeskLamp-holding-Bowl\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nturn_on_light_then_hold_bowl-DeskLamp-BowlType-Desk\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o BowlType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a ?o)\n            )\n    ))))\n\n<END>', 'Simplified Goal: \nlook_at_obj_in_light-Bowl-None-DeskLamp\n\nPDDL Goal: \n(:goal\n    (exists (?a - agent)\n    (exists (?r - receptacle)\n    (exists (?o - object)\n    (exists (?ot - object)\n    (exists (?l - location)\n        (and \n            (objectType ?ot DeskLampType)\n            (toggleable ?ot)\n            (isToggled ?ot) \n            (objectAtLocation ?ot ?l)\n            (atLocation ?a ?l)\n            (objectType ?o BowlType)\n            (holds ?a ?o)\n        )\n))))))\n', ';; Simplified Goal: \nhold_then_toggle-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a Bowl)\n            )\n    ))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?o BowlType)
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,turn on the lamp on the desk while holding the bowl.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BowlType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nturn_on-DeskLamp-holding-Bowl\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nturn_on_light_then_hold_bowl-DeskLamp-BowlType-Desk\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o BowlType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a ?o)\n            )\n    ))))\n\n<END>', 'Simplified Goal: \nlook_at_obj_in_light-Bowl-None-DeskLamp\n\nPDDL Goal: \n(:goal\n    (exists (?a - agent)\n    (exists (?r - receptacle)\n    (exists (?o - object)\n    (exists (?ot - object)\n    (exists (?l - location)\n        (and \n            (objectType ?ot DeskLampType)\n            (toggleable ?ot)\n            (isToggled ?ot) \n            (objectAtLocation ?ot ?l)\n            (atLocation ?a ?l)\n            (objectType ?o BowlType)\n            (holds ?a ?o)\n        )\n))))))\n', ';; Simplified Goal: \nhold_then_toggle-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a Bowl)\n            )\n    ))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o BowlType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,turn on the lamp on the desk while holding the bowl.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BowlType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nturn_on-DeskLamp-holding-Bowl\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nturn_on_light_then_hold_bowl-DeskLamp-BowlType-Desk\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o BowlType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a ?o)\n            )\n    ))))\n\n<END>', 'Simplified Goal: \nlook_at_obj_in_light-Bowl-None-DeskLamp\n\nPDDL Goal: \n(:goal\n    (exists (?a - agent)\n    (exists (?r - receptacle)\n    (exists (?o - object)\n    (exists (?ot - object)\n    (exists (?l - location)\n        (and \n            (objectType ?ot DeskLampType)\n            (toggleable ?ot)\n            (isToggled ?ot) \n            (objectAtLocation ?ot ?l)\n            (atLocation ?a ?l)\n            (objectType ?o BowlType)\n            (holds ?a ?o)\n        )\n))))))\n', ';; Simplified Goal: \nhold_then_toggle-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a Bowl)\n            )\n    ))))']","(:goal
	(exists (?ot - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(holds ?a Bowl)))))
)",True
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,turn on the lamp on the desk while holding the bowl.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o BowlType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nturn_on-DeskLamp-holding-Bowl\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', ';; Simplified Goal: \nturn_on_light_then_hold_bowl-DeskLamp-BowlType-Desk\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o BowlType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a ?o)\n            )\n    ))))\n\n<END>', 'Simplified Goal: \nlook_at_obj_in_light-Bowl-None-DeskLamp\n\nPDDL Goal: \n(:goal\n    (exists (?a - agent)\n    (exists (?r - receptacle)\n    (exists (?o - object)\n    (exists (?ot - object)\n    (exists (?l - location)\n        (and \n            (objectType ?ot DeskLampType)\n            (toggleable ?ot)\n            (isToggled ?ot) \n            (objectAtLocation ?ot ?l)\n            (atLocation ?a ?l)\n            (objectType ?o BowlType)\n            (holds ?a ?o)\n        )\n))))))\n', ';; Simplified Goal: \nhold_then_toggle-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (holds ?a Bowl)\n            )\n    ))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o BowlType)
		(holds ?a ?o))))))
)",True
train/look_at_obj_in_light-CD-None-DeskLamp-316/trial_T20190909_114522_623490,carry a cd while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \npick_and_carry_then_toggle-Laptop-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot LaptopType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    ))))', ';; Simplified Goal: \npick_then_hold-CD-None+toggle-LightSwitch\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o1 - object)\n        (exists (?o2 - object)\n            (and \n                (objectType ?o1 CDType) \n                (objectType ?o2 LightSwitchType)\n                (toggleable ?o2)\n                (isToggled ?o2)\n                (holds ?a ?o1) \n            )\n    ))))', ';; Simplified Goal: \ncarry_obj_with_actionAndObj-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (not (isToggled ?ot)) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \ncarry_obj_and_toggle-Lamp-FloorLamp-CD\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o CDType)
		(holds ?a ?o))))))
)",False
train/look_at_obj_in_light-CD-None-DeskLamp-316/trial_T20190909_114522_623490,carry a cd while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \npick_and_carry_then_toggle-Laptop-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot LaptopType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    ))))', ';; Simplified Goal: \npick_then_hold-CD-None+toggle-LightSwitch\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o1 - object)\n        (exists (?o2 - object)\n            (and \n                (objectType ?o1 CDType) \n                (objectType ?o2 LightSwitchType)\n                (toggleable ?o2)\n                (isToggled ?o2)\n                (holds ?a ?o1) \n            )\n    ))))', ';; Simplified Goal: \ncarry_obj_with_actionAndObj-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (not (isToggled ?ot)) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \ncarry_obj_and_toggle-Lamp-FloorLamp-CD\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(not (isToggled ?ot))
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o CDType)
		(holds ?a ?o))))))
)",False
train/look_at_obj_in_light-CD-None-DeskLamp-316/trial_T20190909_114522_623490,carry a cd while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \npick_and_carry_then_toggle-Laptop-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot LaptopType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    ))))', ';; Simplified Goal: \npick_then_hold-CD-None+toggle-LightSwitch\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o1 - object)\n        (exists (?o2 - object)\n            (and \n                (objectType ?o1 CDType) \n                (objectType ?o2 LightSwitchType)\n                (toggleable ?o2)\n                (isToggled ?o2)\n                (holds ?a ?o1) \n            )\n    ))))', ';; Simplified Goal: \ncarry_obj_with_actionAndObj-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (not (isToggled ?ot)) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \ncarry_obj_and_toggle-Lamp-FloorLamp-CD\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot LaptopType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o CDType)
		(holds ?a ?o))))))
)",False
train/look_at_obj_in_light-CD-None-DeskLamp-316/trial_T20190909_114522_623490,carry a cd while turning on a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o CDType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \npick_and_carry_then_toggle-Laptop-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot LaptopType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    ))))', ';; Simplified Goal: \npick_then_hold-CD-None+toggle-LightSwitch\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o1 - object)\n        (exists (?o2 - object)\n            (and \n                (objectType ?o1 CDType) \n                (objectType ?o2 LightSwitchType)\n                (toggleable ?o2)\n                (isToggled ?o2)\n                (holds ?a ?o1) \n            )\n    ))))', ';; Simplified Goal: \ncarry_obj_with_actionAndObj-CD-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (not (isToggled ?ot)) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \ncarry_obj_and_toggle-Lamp-FloorLamp-CD\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o CDType)\n                (holds ?a ?o)\n            )\n    )))))']","(:goal
	(exists (?o2 - object)
(exists (?o1 - object)
(exists (?a - agent)
(and 
		(objectType ?o1 CDType)
		(objectType ?o2 LightSwitchType)
		(toggleable ?o2)
		(isToggled ?o2)
		(holds ?a ?o1)))))
)",False
