problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-202/trial_T20190909_014548_223224,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?ot FloorLampType)\n\t\t(toggleable ?ot)\n\t\t(isToggled ?ot)\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(objectType ?o RemoteControlType)\n\t\t(holds ?a ?o))))))\n)', '(TakeObject_0 agent1 loc_bar_4_bar_4_bar_2_bar_60 remotecontrol_3_dot_520442248_comma_3_dot_520442248_comma_2_dot_1829792_comma_2_dot_1829792_comma_0_dot_965454_comma_0_dot_965454)\n(TurnOnLamp_1 agent1 loc_bar__minus_15_bar_14_bar_0_bar_0 floorlamp__minus_14_dot_748_comma__minus_14_dot_748_comma_16_dot_056_comma_16_dot_056_comma_0_dot_0001871585844_comma_0_dot_0001871585844 floorlamp__minus_14_dot_748_comma__minus_14_dot_748_comma_16_dot_056_comma_16_dot_056_comma_0_dot_0001871585844_comma_0_dot_0001871585844)')",True,"TakeObject_0, TurnOnLamp_1","TakeObject_0, TurnOnLamp_1"
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-208/trial_T20190908_214829_482790,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?ot FloorLampType)\n\t\t(toggleable ?ot)\n\t\t(isToggled ?ot)\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(objectType ?o RemoteControlType)\n\t\t(holds ?a ?o))))))\n)', '(TakeObject_0 agent1 loc_bar__minus_5_bar_8_bar_1_bar_60 remotecontrol__minus_1_dot_614460228_comma__minus_1_dot_614460228_comma_7_dot_75475504_comma_7_dot_75475504_comma_1_dot_569454_comma_1_dot_569454)\n(TurnOnLamp_1 agent1 loc_bar_5_bar_3_bar_1_bar_0 floorlamp_6_dot_84815932_comma_6_dot_84815932_comma_1_dot_49665022_comma_1_dot_49665022_comma_0_dot_0_comma_0_dot_0 floorlamp_6_dot_84815932_comma_6_dot_84815932_comma_1_dot_49665022_comma_1_dot_49665022_comma_0_dot_0_comma_0_dot_0)')",True,"TakeObject_0, TurnOnLamp_1","TakeObject_0, TurnOnLamp_1"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?o BowlType)\n\t\t(objectType ?ot DeskLampType)\n\t\t(toggleable ?ot)\n\t\t(isToggled ?ot)\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(holds ?a ?o))))))\n)', '(TakeObject_0 agent1 loc_bar__minus_3_bar__minus_9_bar_3_bar_60 bowl__minus_5_dot_82908772_comma__minus_5_dot_82908772_comma__minus_8_dot_76445864_comma__minus_8_dot_76445864_comma_2_dot_7967176_comma_2_dot_7967176)\n(TurnOnLamp_1 agent1 loc_bar__minus_3_bar__minus_10_bar_3_bar_45 desklamp__minus_5_dot_95776844_comma__minus_5_dot_95776844_comma__minus_9_dot_6770506_comma__minus_9_dot_6770506_comma_2_dot_7722584_comma_2_dot_7722584 desklamp__minus_5_dot_95776844_comma__minus_5_dot_95776844_comma__minus_9_dot_6770506_comma__minus_9_dot_6770506_comma_2_dot_7722584_comma_2_dot_7722584)')",True,"TakeObject_0, TurnOnLamp_1","TakeObject_0, TurnOnLamp_1"
train/look_at_obj_in_light-CD-None-DeskLamp-316/trial_T20190909_114522_623490,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?ot DeskLampType)\n\t\t(toggleable ?ot)\n\t\t(not (isToggled ?ot))\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(objectType ?o CDType)\n\t\t(holds ?a ?o))))))\n)', '(TakeObject_0 agent1 loc_bar_0_bar_2_bar_3_bar_60 cd__minus_1_dot_356322288_comma__minus_1_dot_356322288_comma_2_dot_5726804_comma_2_dot_5726804_comma_2_dot_650754212_comma_2_dot_650754212)')",False,TakeObject_0,TakeObject_0
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o BoxType)\n\t\t(receptacleType ?r SofaType)\n\t\t(inReceptacle ?o ?r))))\n)', '(TakeObject_0 agent1 loc_bar__minus_9_bar_7_bar_2_bar_60 box__minus_9_dot_05871392_comma__minus_9_dot_05871392_comma_5_dot_0059352_comma_5_dot_0059352_comma_2_dot_668_comma_2_dot_668)\n(PlaceObject_0 agent1 loc_bar__minus_11_bar_2_bar_2_bar_60 sofa__minus_10_dot_732_comma__minus_10_dot_732_comma__minus_0_dot_4984_comma__minus_0_dot_4984_comma__minus_0_dot_184_comma__minus_0_dot_184 box__minus_9_dot_05871392_comma__minus_9_dot_05871392_comma_5_dot_0059352_comma_5_dot_0059352_comma_2_dot_668_comma_2_dot_668)')",True,"TakeObject_0, PlaceObject_0","TakeObject_0, PlaceObject_0"
train/pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_020906_064567,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o RemoteControlType)\n\t\t(receptacleType ?r ArmChairType)\n\t\t(inReceptacle ?o ?r))))\n)', '(TakeObject_0 agent1 loc_bar__minus_17_bar_8_bar_1_bar_45 remotecontrol__minus_13_dot_73041724_comma__minus_13_dot_73041724_comma_8_dot_24723052_comma_8_dot_24723052_comma_3_dot_133654_comma_3_dot_133654)\n(PlaceObject_0 agent1 loc_bar__minus_10_bar_22_bar_2_bar_60 armchair__minus_10_dot_764_comma__minus_10_dot_764_comma_18_dot_464_comma_18_dot_464_comma_0_dot_0037252904_comma_0_dot_0037252904 remotecontrol__minus_13_dot_73041724_comma__minus_13_dot_73041724_comma_8_dot_24723052_comma_8_dot_24723052_comma_3_dot_133654_comma_3_dot_133654)')",True,"TakeObject_0, PlaceObject_0","TakeObject_0, PlaceObject_0"
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o VaseType)\n\t\t(receptacleType ?r SafeType)\n\t\t(inReceptacle ?o ?r))))\n)', '(TakeObject_0 agent1 loc_bar__minus_7_bar__minus_5_bar_2_bar_60 vase__minus_8_dot_04414652_comma__minus_8_dot_04414652_comma__minus_7_dot_28146124_comma__minus_7_dot_28146124_comma_2_dot_63630414_comma_2_dot_63630414)\n(PlaceObject_0 agent1 loc_bar__minus_3_bar_2_bar_1_bar_60 safe_0_dot_7896_comma_0_dot_7896_comma__minus_0_dot_4084_comma__minus_0_dot_4084_comma_0_dot_00526052712_comma_0_dot_00526052712 vase__minus_8_dot_04414652_comma__minus_8_dot_04414652_comma__minus_7_dot_28146124_comma__minus_7_dot_28146124_comma_2_dot_63630414_comma_2_dot_63630414)')",False,"TakeObject_0, PlaceObject_0",TakeObject_0
train/pick_heat_then_place_in_recep-Apple-None-SideTable-28/trial_T20190906_180710_251060,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o AppleType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(heatable ?o)\n\t\t(isHot ?o))))\n)', '(TakeObject_0 agent1 loc_bar__minus_10_bar__minus_4_bar_0_bar_60 apple__minus_10_dot_24330328_comma__minus_10_dot_24330328_comma__minus_2_dot_5353236_comma__minus_2_dot_5353236_comma_3_dot_824130536_comma_3_dot_824130536)\n(HeatObject_2 agent1 loc_bar__minus_10_bar__minus_4_bar_0_bar_60 apple__minus_10_dot_24330328_comma__minus_10_dot_24330328_comma__minus_2_dot_5353236_comma__minus_2_dot_5353236_comma_3_dot_824130536_comma_3_dot_824130536)')",False,"TakeObject_0, HeatObject_2",TakeObject_0
train/pick_cool_then_place_in_recep-PotatoSliced-None-GarbageCan-18/trial_T20190909_070711_069611,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(receptacleType ?r GarbageCanType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))\n)', '(ChillObject_0 agent1 loc_bar_3_bar_27_bar_3_bar_60 potato_1_dot_2209644_comma_1_dot_2209644_comma_26_dot_666156_comma_26_dot_666156_comma_3_dot_1799052_comma_3_dot_1799052)\n(SliceObject_2 agent1 loc_bar_3_bar_27_bar_3_bar_60 potato_1_dot_2209644_comma_1_dot_2209644_comma_26_dot_666156_comma_26_dot_666156_comma_3_dot_1799052_comma_3_dot_1799052)\n(TakeObject_0 agent1 loc_bar_3_bar_27_bar_3_bar_60 potato_1_dot_2209644_comma_1_dot_2209644_comma_26_dot_666156_comma_26_dot_666156_comma_3_dot_1799052_comma_3_dot_1799052)\n(PutObjectInReceptacle agent1 loc_bar_4_bar_24_bar_1_bar_60 potatotype potato_1_dot_2209644_comma_1_dot_2209644_comma_26_dot_666156_comma_26_dot_666156_comma_3_dot_1799052_comma_3_dot_1799052 garbagecan_8_dot_00458908_comma_8_dot_00458908_comma_26_dot_0127182_comma_26_dot_0127182_comma_0_dot_0_comma_0_dot_0)')",False,"ChillObject_0, SliceObject_2, TakeObject_0, PutObjectInReceptacle",
train/pick_clean_then_place_in_recep-Lettuce-None-SideTable-21/trial_T20190907_101234_922599,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o LettuceType)\n\t\t(receptacleType ?r SideTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(TakeObject_0 agent1 loc_bar__minus_4_bar_1_bar_0_bar_45 lettuce__minus_4_dot_33652736_comma__minus_4_dot_33652736_comma_3_dot_821450232_comma_3_dot_821450232_comma_3_dot_892964124_comma_3_dot_892964124)\n(PutObjectInReceptacle agent1 loc_bar__minus_1_bar_1_bar_1_bar_45 lettucetype lettuce__minus_4_dot_33652736_comma__minus_4_dot_33652736_comma_3_dot_821450232_comma_3_dot_821450232_comma_3_dot_892964124_comma_3_dot_892964124 sidetable_3_dot_0924_comma_3_dot_0924_comma_1_dot_7924_comma_1_dot_7924_comma_2_dot_8004_comma_2_dot_8004)\n(WashObject_2 agent1 loc_bar__minus_1_bar_1_bar_1_bar_45 lettuce__minus_4_dot_33652736_comma__minus_4_dot_33652736_comma_3_dot_821450232_comma_3_dot_821450232_comma_3_dot_892964124_comma_3_dot_892964124)')",False,"TakeObject_0, PutObjectInReceptacle, WashObject_2","TakeObject_0, PutObjectInReceptacle"
