problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/look_at_obj_in_light-Statue-None-FloorLamp-205/trial_T20190908_103342_172151,"('(:goal\n\t(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?ot FloorLampType)\n\t\t(toggleable ?ot)\n\t\t(isToggled ?ot)\n\t\t(objectAtLocation ?ot ?l)\n\t\t(atLocation ?a ?l)\n\t\t(objectType ?o StatueType)\n\t\t(holds ?a ?o))))))\n)', '(InspectObject_2 agent1 loc_bar__minus_19_bar_11_bar_0_bar_60 sidetable__minus_16_dot_764_comma__minus_16_dot_764_comma_14_dot_352_comma_14_dot_352_comma__minus_0_dot_004_comma__minus_0_dot_004 statue__minus_16_dot_91496276_comma__minus_16_dot_91496276_comma_14_dot_50523472_comma_14_dot_50523472_comma_1_dot_959551336_comma_1_dot_959551336)\n(CarryObject_0 agent1 loc_bar__minus_19_bar_12_bar_0_bar_0 floorlamp__minus_18_dot_884_comma__minus_18_dot_884_comma_14_dot_748_comma_14_dot_748_comma_0_dot_000504732132_comma_0_dot_000504732132)\n(TurnOnLight_0 floorlamp__minus_18_dot_884_comma__minus_18_dot_884_comma_14_dot_748_comma_14_dot_748_comma_0_dot_000504732132_comma_0_dot_000504732132 floorlamp__minus_18_dot_884_comma__minus_18_dot_884_comma_14_dot_748_comma_14_dot_748_comma_0_dot_000504732132_comma_0_dot_000504732132 agent1 loc_bar__minus_19_bar_12_bar_0_bar_0)')",False,"InspectObject_2, CarryObject_0, TurnOnLight_0",InspectObject_2
train/pick_heat_then_place_in_recep-Potato-None-SinkBasin-30/trial_T20190908_080503_071243,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PotatoType)\n\t\t(inReceptacle ?o ?r)\n\t\t(heatable ?o)\n\t\t(isHot ?o))))\n)', '(HeatObject_2 agent1 loc_bar_10_bar__minus_2_bar_1_bar_60 potato_11_dot_8660288_comma_11_dot_8660288_comma__minus_1_dot_998005508_comma__minus_1_dot_998005508_comma_3_dot_75704_comma_3_dot_75704)')",False,HeatObject_2,
train/pick_and_place_simple-TomatoSliced-None-Fridge-6/trial_T20190907_233305_019895,"('(:goal\n\t(exists (?rr - receptacle)\n(exists (?r - receptacle)\n(exists (?o - object)\n(exists (?l - location)\n(exists (?a - agent)\n(and \n\t\t(objectType ?o KnifeType)\n\t\t(atLocation ?a ?l)\n\t\t(objectAtLocation ?o ?l)\n\t\t(receptacleAtLocation ?r ?l)\n\t\t(receptacleAtLocation ?rr ?l)))))))\n)', '(InspectObject_0 agent1 loc_bar_2_bar_4_bar_3_bar_45 knife__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_4_dot_376_comma_4_dot_376_comma_3_dot_7449984_comma_3_dot_7449984)\n(PutObjectInReceptacle agent1 loc_bar_2_bar__minus_4_bar_2_bar_45 knifetype knife__minus_1_dot_365187408_comma__minus_1_dot_365187408_comma_4_dot_376_comma_4_dot_376_comma_3_dot_7449984_comma_3_dot_7449984 coffeemachine_1_dot_856_comma_1_dot_856_comma__minus_7_dot_26_comma__minus_7_dot_26_comma_3_dot_6_comma_3_dot_6)')",False,"InspectObject_0, PutObjectInReceptacle",InspectObject_0
train/pick_cool_then_place_in_recep-Pan-None-Cabinet-18/trial_T20190907_222321_075263,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PanType)\n\t\t(receptacleType ?r CabinetType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(ChillObject_2 agent1 loc_bar__minus_2_bar_4_bar_2_bar_45 pan__minus_2_dot_4455308_comma__minus_2_dot_4455308_comma_1_dot_947234868_comma_1_dot_947234868_comma_3_dot_9634344_comma_3_dot_9634344)\n(InspectObject_0 agent1 loc_bar__minus_2_bar_4_bar_2_bar_45 pan__minus_2_dot_4455308_comma__minus_2_dot_4455308_comma_1_dot_947234868_comma_1_dot_947234868_comma_3_dot_9634344_comma_3_dot_9634344)\n(PutObject_0 agent1 loc_bar_0_bar_4_bar_2_bar__minus_30 cabinet__minus_1_dot_0550312_comma__minus_1_dot_0550312_comma_1_dot_736188888_comma_1_dot_736188888_comma_8_dot_53794_comma_8_dot_53794 pan__minus_2_dot_4455308_comma__minus_2_dot_4455308_comma_1_dot_947234868_comma_1_dot_947234868_comma_3_dot_9634344_comma_3_dot_9634344)')",False,"ChillObject_2, InspectObject_0, PutObject_0",
train/pick_cool_then_place_in_recep-Pan-None-Cabinet-18/trial_T20190907_222321_075263,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o PanType)\n\t\t(receptacleType ?r DrawerType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(CoolObject_2 agent1 loc_bar__minus_2_bar_4_bar_2_bar_45 pan__minus_2_dot_4455308_comma__minus_2_dot_4455308_comma_1_dot_947234868_comma_1_dot_947234868_comma_3_dot_9634344_comma_3_dot_9634344)\n(InspectObject_0 agent1 loc_bar__minus_2_bar_4_bar_2_bar_45 pan__minus_2_dot_4455308_comma__minus_2_dot_4455308_comma_1_dot_947234868_comma_1_dot_947234868_comma_3_dot_9634344_comma_3_dot_9634344)\n(PutObject_0 agent1 loc_bar_0_bar_12_bar_1_bar_30 drawer_5_dot_107148_comma_5_dot_107148_comma_13_dot_16437816_comma_13_dot_16437816_comma_3_dot_2104308_comma_3_dot_2104308 pan__minus_2_dot_4455308_comma__minus_2_dot_4455308_comma_1_dot_947234868_comma_1_dot_947234868_comma_3_dot_9634344_comma_3_dot_9634344)')",False,"CoolObject_2, InspectObject_0, PutObject_0",
train/pick_cool_then_place_in_recep-LettuceSliced-None-SinkBasin-12/trial_T20190906_195846_462229,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o2 - object)\n(exists (?o1 - object)\n(and \n\t\t(objectType ?o1 ButterKnifeType)\n\t\t(objectType ?o2 LettuceType)\n\t\t(inReceptacle ?o1 ?r)\n\t\t(inReceptacle ?o2 ?r)\n\t\t(cleanable ?o1)\n\t\t(isClean ?o1)\n\t\t(coolable ?o2)\n\t\t(isCool ?o2)))))\n)', '(WashObject_2 agent1 loc_bar__minus_1_bar_4_bar_3_bar_45 butterknife__minus_4_dot_17262_comma__minus_4_dot_17262_comma_3_dot_684_comma_3_dot_684_comma_3_dot_7517684_comma_3_dot_7517684)\n(ChillObject_2 agent1 loc_bar_4_bar_4_bar_1_bar_45 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)\n(InspectObject_0 agent1 loc_bar_4_bar_4_bar_1_bar_45 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)\n(PutObject_0 agent1 loc_bar__minus_1_bar_4_bar_3_bar_45 countertop__minus_3_dot_888_comma__minus_3_dot_888_comma_3_dot_684_comma_3_dot_684_comma_3_dot_8936_comma_3_dot_8936 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)')",False,"WashObject_2, ChillObject_2, InspectObject_0, PutObject_0",
train/pick_cool_then_place_in_recep-LettuceSliced-None-SinkBasin-12/trial_T20190906_195846_462229,"('(:goal\n\t(exists (?r2 - receptacle)\n(exists (?r - receptacle)\n(exists (?o2 - object)\n(exists (?o - object)\n(and \n\t\t(objectType ?o KnifeType)\n\t\t(objectType ?o2 LettuceType)\n\t\t(inReceptacle ?o ?r)\n\t\t(inReceptacle ?o2 ?r2)\n\t\t(coolable ?o2)\n\t\t(isCool ?o2))))))\n)', '(InspectObject_0 agent1 loc_bar_4_bar_4_bar_1_bar_45 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)\n(ChillObject_1 agent1 loc_bar_4_bar_4_bar_1_bar_45 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)')",False,"InspectObject_0, ChillObject_1",InspectObject_0
train/pick_cool_then_place_in_recep-LettuceSliced-None-SinkBasin-12/trial_T20190906_195846_462229,"('(:goal\n\t(exists (?r2 - receptacle)\n(exists (?r1 - receptacle)\n(exists (?o2 - object)\n(exists (?o1 - object)\n(and \n\t\t(objectType ?o1 KnifeType)\n\t\t(objectType ?o2 LettuceType)\n\t\t(inReceptacle ?o1 ?r1)\n\t\t(inReceptacle ?o2 ?r2)\n\t\t(coolable ?o2)\n\t\t(isCool ?o2))))))\n)', '(InspectObject_0 agent1 loc_bar_4_bar_4_bar_1_bar_45 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)\n(CoolObject_1 agent1 loc_bar_4_bar_4_bar_1_bar_45 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304 lettuce_6_dot_37184908_comma_6_dot_37184908_comma_4_dot_02906372_comma_4_dot_02906372_comma_4_dot_11320304_comma_4_dot_11320304)')",False,"InspectObject_0, CoolObject_1",InspectObject_0
train/pick_heat_then_place_in_recep-Egg-None-GarbageCan-8/trial_T20190909_120617_866099,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o EggType)\n\t\t(receptacleType ?r GarbageCanType)\n\t\t(inReceptacle ?o ?r)\n\t\t(heatable ?o)\n\t\t(isHot ?o))))\n)', '(InspectObject_0 agent1 loc_bar_3_bar_4_bar_1_bar_60 egg_5_dot_0503664_comma_5_dot_0503664_comma_4_dot_20407964_comma_4_dot_20407964_comma_0_dot_975472212_comma_0_dot_975472212)\n(MicrowaveObject_2 agent1 loc_bar_3_bar_4_bar_1_bar_60 egg_5_dot_0503664_comma_5_dot_0503664_comma_4_dot_20407964_comma_4_dot_20407964_comma_0_dot_975472212_comma_0_dot_975472212)')",False,"InspectObject_0, MicrowaveObject_2",InspectObject_0
train/pick_cool_then_place_in_recep-Lettuce-None-DiningTable-27/trial_T20190907_175045_014819,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o LettuceType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(coolable ?o)\n\t\t(isCool ?o))))\n)', '(InspectObject_2 agent1 loc_bar_2_bar_3_bar_3_bar_60 diningtable__minus_0_dot_848358096_comma__minus_0_dot_848358096_comma_3_dot_524_comma_3_dot_524_comma_0_dot_0886555464_comma_0_dot_0886555464 lettuce__minus_0_dot_784358144_comma__minus_0_dot_784358144_comma_4_dot_87171268_comma_4_dot_87171268_comma_3_dot_4109912_comma_3_dot_4109912)\n(ChillObject_0 agent1 loc_bar_2_bar_3_bar_3_bar_60 diningtable__minus_0_dot_848358096_comma__minus_0_dot_848358096_comma_3_dot_524_comma_3_dot_524_comma_0_dot_0886555464_comma_0_dot_0886555464 lettuce__minus_0_dot_784358144_comma__minus_0_dot_784358144_comma_4_dot_87171268_comma_4_dot_87171268_comma_3_dot_4109912_comma_3_dot_4109912)')",False,"InspectObject_2, ChillObject_0",InspectObject_2
