problem_id,attempt_id,minimum_n_operators,goal,success,plan,sampled_operators
train_0,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_0,1,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_0,2,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",False,,"['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_1,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t5)
(pick-up i1 o21 t5)
(move-to t5 t2)
(craft-paper_1 t2 o1 i1 o21 i1 o21 i2 o22)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_2,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Shears))))
)",True,"(move-to t1 t7)
(pick-up i1 o12 t7)
(move-to t7 t10)
(craft-shears1_0 t10 o3 i1 o12 i2 o22)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_3,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t14)
(pick-up i1 o21 t14)
(move-to t14 t5)
(craft-paper_1 t5 o1 i1 o21 i1 o21 i2 o22)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_4,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t8)
(pick-up i1 o10 t8)
(move-to t8 t3)
(pick-up i2 o11 t3)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t3)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_5,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o WoodPlank))))
)",True,"(move-to t1 t4)
(pick-up i1 o8 t4)
(move-to t4 t8)
(craft-wood-plank i1 i2 o1 o8 o21 t8)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_6,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Shears))))
)",True,"(move-to t1 t7)
(pick-up i1 o12 t7)
(move-to t7 t1)
(craft-shears1_0 t1 o3 i1 o12 i2 o22)","['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
train_7,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o1 - object)
(exists (?o2 - object)
(and 
		(inventory-holding ?i ?o1)
		(inventory-holding ?i ?o2)
		(object-of-type ?o1 Beetroot)
		(object-of-type ?o2 Bowl)))))
)",False,,"['craft-cooked-potato1_0', 'craft-beetroot-soup_2', 'craft-cooked-potato_2', 'craft-boat_2', 'craft-boat_0', 'craft-stick_2', 'craft-cooked-potato1_1', 'craft-stick1_1', 'cook-food_0', 'craft-cooked-potato_1', 'craft-stick_1', 'craft-bowl_0', 'cook-food_2', 'craft-bowl1_1', 'craft-bowl_1', 'craft-boat_1', 'craft-cooked-potato1_2', 'craft-bowl1_2', 'cook-food_1']"
