problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_7,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t5)
(pick-up i1 o19 t5)
(move-to t5 t10)
(pick-up i2 o20 t10)
(move-to t10 t11)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t11)","(move-to t1 t12)
(pick-up i1 o30 t12)
(move-to t12 t5)
(pick-up i2 o31 t5)
(move-to t5 t8)
(pick-up i3 o32 t8)
(move-to t8 t3)
(craft-beetroot-soup i1 i2 i3 o30 o31 o32 o33 t3)
"
train_8,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t5)
(craft-stick i1 i3 o1 o9 o23 t5)","(move-to t1 t11)
(pick-up i1 o2 t11)
(move-to t11 t16)
(craft-stick t16 o1 i1 o2)
"
train_9,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t3)
(pick-up i1 o19 t3)
(move-to t3 t7)
(pick-up i2 o20 t7)
(move-to t7 t8)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t8)","(move-to t1 t7)
(pick-up i1 o10 t7)
(move-to t7 t12)
(pick-up i2 o9 t12)
(move-to t12 t6)
(pick-up i3 o23 t6)
(move-to t6 t15)
(craft-beetroot-soup i1 i2 i3 o2 o9 o10 o23 t15)
"
train_12,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t12)
(pick-up i1 o9 t12)
(move-to t12 t6)
(craft-bowl1 i1 i3 o7 o9 o23 t6)","(move-to t1 t5)
(pick-up i1 o11 t5)
(move-to t5 t8)
(craft-bowl i1 o11 o23 t8)
"
train_15,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t7)
(pick-up i1 o19 t7)
(move-to t7 t11)
(pick-up i2 o20 t11)
(move-to t11 t9)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t9)","(move-to t1 t1)
(pick-up i1 o19 t1)
(move-to t1 t3)
(pick-up i2 o20 t3)
(move-to t3 t9)
(craft-beetroot-soup t9 i1 i2 o7 o19 o20 o24)
"
train_19,Craft a boat.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Boat)) ))
 )","(move-to t1 t14)
(pick-up i1 o9 t14)
(move-to t14 t14)
(craft-boat i1 i3 o6 o9 o24 t14)","(move-to t1 t5)
(pick-up i1 o9 t5)
(move-to t5 t8)
(pick-up i2 o17 t8)
(move-to t8 t12)
(craft-boat t12 o1 i1 o9 i2 o17 i3 o22)
"
train_21,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t14)
(pick-up i1 o9 t14)
(move-to t14 t10)
(craft-bowl1 i1 i3 o7 o9 o23 t10)","(move-to t1 t11)
(pick-up i1 o4 t11)
(move-to t11 t5)
(pick-up i2 o6 t5)
(move-to t5 t7)
(pick-up i3 o5 t7)
(move-to t7 t8)
(craft-bowl i1 o4 i2 o6 i3 o5 o7 t8)
"
train_25,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t12)
(pick-up i1 o18 t12)
(move-to t12 t10)
(pick-up i2 o15 t10)
(move-to t10 t3)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t3)","(move-to t1 t3)
(pick-up i1 o5 t3)
(move-to t3 t4)
(pick-up i2 o15 t4)
(move-to t4 t2)
(craft-cooked-potato t2 i1 i2 o5 o15 o23 o24)
"
train_26,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t1)
(pick-up i1 o18 t1)
(move-to t1 t9)
(pick-up i2 o15 t9)
(move-to t9 t15)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t15)","(move-to t1 t5)
(pick-up i1 o15 t5)
(move-to t5 t6)
(craft-cooked-potato i1 i2 o2 o15 o32 t6)
"
train_28,Craft a cooked potato.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o CookedPotato)) ))
 )","(move-to t1 t11)
(pick-up i1 o18 t11)
(move-to t11 t14)
(pick-up i2 o15 t14)
(move-to t14 t7)
(craft-cooked-potato i1 i2 i3 o4 o18 o15 o24 t7)","(move-to t1 t4)
(pick-up i1 o11 t4)
(move-to t4 t9)
(cook i1 o11 o16 t9)
"
