problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_3,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o12 t1)\n(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(mine-potato o7 o12 i3 t4 o17 i1)')",True,"pick-up, move-right, move-right, move-right, mine-potato","pick-up, move-right, move-right, move-right, mine-potato"
train_5,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(pick-up i1 o14 t4)\n(move-right t4 t5)\n(move-right t5 t6)\n(mine-potato1 o7 o14 i3 t6 o17 i1)')",True,"move-right, move-right, move-right, pick-up, move-right, move-right, mine-potato1","move-right, move-right, move-right, pick-up, move-right, move-right, mine-potato1"
train_7,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-right t1 t2)\n(pick-up i1 o14 t2)\n(move-right t2 t3)\n(mine-wool1 o6 o14 i3 o17 i1 t3)')",True,"move-right, pick-up, move-right, mine-wool1","move-right, pick-up, move-right, mine-wool1"
train_11,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(pick-up i1 o11 t4)\n(move-left t4 t3)\n(move-left t3 t2)\n(mine-gold-ore o9 o11 i3 o17 i1 t2)')",True,"move-right, move-right, move-right, pick-up, move-left, move-left, mine-gold-ore","move-right, move-right, move-right, pick-up, move-left, move-left, mine-gold-ore"
train_12,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(move-right t4 t5)\n(move-right t5 t6)\n(move-right t6 t7)\n(move-right t7 t8)\n(move-right t8 t9)\n(pick-up i1 o14 t9)\n(move-right t9 t10)\n(move-right t10 t11)\n(move-right t11 t12)\n(mine-feather o5 o14 i3 o17 i1 t12)')",False,"move-right, move-right, move-right, move-right, move-right, move-right, move-right, move-right, pick-up, move-right, move-right, move-right, mine-feather","move-right, move-right, move-right, move-right, move-right, move-right, move-right, move-right, pick-up, move-right, move-right, move-right, mine-feather"
train_14,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(move-right t4 t5)\n(move-right t5 t6)\n(move-right t6 t7)\n(move-right t7 t8)\n(move-right t8 t9)\n(pick-up i1 o14 t9)\n(mine-beetroot o8 o14 i3 o17 i1 t9)')",True,"move-right, move-right, move-right, move-right, move-right, move-right, move-right, move-right, pick-up, mine-beetroot","move-right, move-right, move-right, move-right, move-right, move-right, move-right, move-right, pick-up, mine-beetroot"
train_19,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(move-right t4 t5)\n(move-right t5 t6)\n(move-right t6 t7)\n(move-right t7 t8)\n(pick-up i1 o11 t8)\n(move-right t8 t9)\n(move-right t9 t10)\n(move-right t10 t11)\n(mine-gold-ore o9 o11 i3 o17 i1 t11)')",True,"move-right, move-right, move-right, move-right, move-right, move-right, move-right, pick-up, move-right, move-right, move-right, mine-gold-ore","move-right, move-right, move-right, move-right, move-right, move-right, move-right, pick-up, move-right, move-right, move-right, mine-gold-ore"
train_21,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(move-right t4 t5)\n(move-right t5 t6)\n(move-right t6 t7)\n(pick-up i1 o11 t7)\n(move-left t7 t6)\n(move-left t6 t5)\n(move-left t5 t4)\n(move-left t4 t3)\n(move-left t3 t2)\n(mine-gold-ore o9 o11 i3 o17 i1 t2)')",True,"move-right, move-right, move-right, move-right, move-right, move-right, pick-up, move-left, move-left, move-left, move-left, move-left, mine-gold-ore","move-right, move-right, move-right, move-right, move-right, move-right, pick-up, move-left, move-left, move-left, move-left, move-left, mine-gold-ore"
train_32,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wood))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(move-right t3 t4)\n(pick-up i1 o12 t4)\n(mine-wood i3 o17 i1 o12 t4)')",False,"move-right, move-right, move-right, pick-up, mine-wood","move-right, move-right, move-right, pick-up"
train_34,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(move-right t1 t2)\n(move-right t2 t3)\n(pick-up i1 o14 t3)\n(move-right t3 t4)\n(mine-potato1 o7 o14 i3 t4 o17 i1)')",True,"move-right, move-right, pick-up, move-right, mine-potato1","move-right, move-right, pick-up, move-right, mine-potato1"
