problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train_0,Mine wood from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Wood)
 ))",[],"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",True
train_1,Mine wool from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Wool)
 ))",[],"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True
train_2,Mine iron ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 IronOre)
 ))",[],"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))\n\n<END>', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True
train_7,Mine wool from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Wool)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Wool)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Wool)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Wool)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Wool)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True
train_8,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True
train_9,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))\n\n<END>', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True
train_10,Mine beetroot from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Beetroot)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))', ';; PDDL Goal:\n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",True
train_11,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True
train_12,Mine feather from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Feather)
 ))","[';; PDDL Goal:\n\n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Feather)\n ))\n\n<END>', 'PDDL Goal:\n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Feather)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Feather)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Feather)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",True
train_13,Mine coal from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Coal)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Coal)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Coal)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Coal)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Coal)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",True
train_14,Mine beetroot from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Beetroot)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))\n\n<END>']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",True
train_15,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True
train_16,Mine iron ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 IronOre)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True
train_17,Mine iron ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 IronOre)
 ))","[';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', ';; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True
train_18,Mine iron ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 IronOre)
 ))","['PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))', 'PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 IronOre)\n ))']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True
