problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-right)
(move-right)
(mine-potato i3 o7 o17 t3)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o15 t9)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-potato i1 i3 o8 o15 o17 t9)
"
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-right)
(move-right)
(mine-potato i3 o7 o17 t3)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-left )
(move-left )
(move-left )
(move-left )
(pick-up i1 o9 t14)
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-potato i1 i3 o2 o9 o17 t9)
"
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-right)
(move-right)
(mine-potato i3 o7 o17 t3)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o13 t9)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-potato i1 i3 o5 o13 o17 t7)
"
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-right)
(move-right)
(mine-potato i3 o7 o17 t3)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o13 t10)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-potato i1 i3 o5 o13 o17 t10)
"
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-right)
(move-right)
(mine-potato i3 o7 o17 t3)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o13 t10)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-potato i1 i2 o7 o13 o17 t9)
"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(mine-sugar-cane i3 o10 o17 t10)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o13 t9)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-sugar-cane i1 i3 o5 o13 o17 t9)
"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(mine-sugar-cane i3 o10 o17 t10)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o13 t10)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-sugar-cane i1 i3 o5 o13 o17 t9)
"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(mine-sugar-cane i3 o10 o17 t10)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o15 t10)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-sugar-cane i1 i3 o5 o15 o17 t9)
"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(mine-sugar-cane i3 o10 o17 t10)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o13 t9)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-sugar-cane i1 i3 o5 o13 o17 t9)
"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(move-right)
(mine-sugar-cane i3 o10 o17 t10)","(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(pick-up i1 o6 t14)
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-left )
(move-right )
(move-right )
(move-right )
(move-right )
(move-right )
(mine-sugar-cane i1 i3 o5 o6 o17 t14)
"
