problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal
train_3,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))",['\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))\n'],"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCanes))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCanes))
)"
train_4,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCanes))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)"
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))",['\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Potato)\n ))\n'],"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 SugarCane)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)"
train_7,Mine wool from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Wool)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Wool)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)"
train_7,Mine wool from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Wool)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Wool)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)"
train_8,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i2 o16)\n   (object-of-type o16 SugarCane)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)"
train_8,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i2 o16)\n   (object-of-type o16 SugarCane)\n ))\n']","(:goal
	(and 
		(inventory-holding i2 o16)
		(object-of-type o16 SugarCane))
)"
train_9,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)"
train_9,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)"
train_10,Mine beetroot from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Beetroot)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)"
train_10,Mine beetroot from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Beetroot)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Beetroot)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)"
train_11,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))\n\n<END>']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)"
train_11,Mine gold ore from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 GoldOre)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 GoldOre)\n ))\n\n<END>']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)"
train_12,Mine feather from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Feather)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Feather)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)"
train_12,Mine feather from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Feather)
 ))","['(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '\n\n;; PDDL Goal: \n(:goal (and\n   (inventory-holding i3 o17)\n   (object-of-type o17 Feather)\n ))\n']","(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)"
